"","Date","Time","Weather","latin","Species","Count","Alive.Dead","Location..OS.coordinates.","Habitat.Lv.1","Habitat.Lv.2","Habitat.Lv.3","Observer","Any.other.comments","team","loc","month"
"309","13/02/2017","13:00","Sunny","Sciurus carolinensis","Grey squirrel","3","Alive","SU 98854 50402","Waterbody","Lake","Near railway, recreational ground, low banks","Zoe",NA,"tsu","surr","feb"
"310","17/02/2017","07:30","Partly cloudy","Sciurus carolinensis","Grey squirrel","1","Alive","SU 98190 50263","Human site","Suburban","Near road, Highly disturbed","Yuma and Emily",NA,"tsu","surr","feb"
"311","03-Mar-17","14:17","Sunny","Sciurus carolinensis","Grey squirrel","1","Alive","SU 7372 7232","Woodland","Mixed","Moderate shrub layer, Near road (50m)","Steph",NA,"pft","read","mar"
"312","17 January 2017","13:28","Sunny","Sciurus carolinensis","Grey squirrel","3","Alive","SU 7422 7177","Human site","Suburban","Disused, Near road (50m)","Team",NA,"pft","read","jan"
"313","06-Feb-17","13:07","Overcast","Sciurus carolinensis","Grey squirrel","3","Alive","SU 7411 7205 ","Human Site ","Suburban","Disused, Garden","Sophie ",NA,"pft","read","feb"
"314","17/03/2017","15:26",NA,"Sciurus carolinensis","Grey squirrel","1","Alive","TR 13750 59967","Human site","Suburban","residential, near road","DT",NA,"gua","kent","mar"
"315","17/03/2017","15:31",NA,"Sciurus carolinensis","Grey squirrel","1","Alive","TR 13381 59775","Human site","Suburban","residential, near road","DT",NA,"gua","kent","mar"
"316","16-Mar-17","07:25","Sunny","Sciurus carolinensis","Grey squirrel","1","Alive","SU 7414 7154","Woodland","Mixed","Moderate shrub layer","Team",NA,"pft","read","mar"
"317","31-Jan","07:30","Overcast","Sciurus carolinensis","Grey squirrel","2","Alive","TG 19138 06916","Woodland","Broadleaved","Moderate shrub layer, sparse field layer","Shawnee & Max","Around bird feeders","nbm","east","jan"
"318","22/05/2017","10:02","Sunny","Sciurus carolinensis","Grey squirrel","1","Alive","SU 7404 7213","Human Site","Suburban","Near road (50m)","Sophie",NA,"pft","read","may"
"319","06-Feb","11:55","Sunny","Sciurus carolinensis","Grey squirrel","1","Alive","TG 19697 07855","Woodland","Broadleaved","Sparse field layer","Ellen",NA,"nbm","east","feb"
"320","21-Feb-17","12:44","Overcast","Sciurus carolinensis","Grey squirrel","1","Alive","SU 7325 7195","Human Site ","Suburban","Near road (50m)","Sophie ",NA,"pft","read","feb"
"321","02/05/2017","12:30","Hot, sun ","Sciurus carolinensis","Grey squirrel","1","Alive","SU 87093 57000","Woodland; human site","Mixed; urban","Moderate shrub layer, moderate field layer; residential","Lucy Morley",NA,"tns","farn","may"
"322","21/04/2017",NA,NA,"Sciurus carolinensis","Grey squirrel","2","Alive","TR 13381 59775","Human site","Suburban","residential, near road","DT",NA,"gua","kent","apr"
"323","27/06/2017",NA,"Cloudy","Sciurus carolinensis","Grey squirrel","1","Alive","SS 63100 92091","Woodland","Broadleaved","Dense shrub layer, moderate field layer","Samantha Purton",NA,"suc","swan","jun"
"324","21-Feb-17","15:14","Overcast","Sciurus carolinensis","Grey squirrel","1","Alive","SU 7411 7205 ","Human Site ","Suburban","Disused, Garden","Sophie ",NA,"pft","read","feb"
"325","05/01/17","09:10","Sunny","Sciurus carolinensis","Grey squirrel","5","Alive","SD 48505 57825","Woodland","mixed","Dense shrub layer, sparse field layer","Tay","Seen on walk from bike shed to library, along woodland trail, close to T1","tbt","lanc","jan"
"326","28-Feb-17","11:13","Sunny","Sciurus carolinensis","Grey squirrel","1","Alive","SU 7411 7205 ","Human Site ","Suburban","Disused, Garden","Aimee",NA,"pft","read","feb"
"327","07/01/17","08:50","overcast","Sciurus carolinensis","Grey squirrel","10","Alive","SD 48505 57827","Woodland","mixed","Dense shrub layer, sparse field layer","Tay","Seen on walk from bike shed to library along woodland trail, close to T1","tbt","lanc","jan"
"328","19 January 2017","12:05","Sunny","Sciurus carolinensis","Grey squirrel","1","Alive","SU 7411 7205","Human site","Suburban","Disused, Gardens","Sophie",NA,"pft","read","jan"
"329","25/05/2017","07:17","Sunny","Sciurus carolinensis","Grey squirrel","4","Alive","SU 7406 7203","Human Site","Suburban","Garden, Near road (50m)","Sophie",NA,"pft","read","may"
"330","25 January 2017","14:09","Sunny","Sciurus carolinensis","Grey squirrel","3","Alive","SU 7304 7223","Human site","Suburban","Municipal park/recreational area, Near road (50m)","Team",NA,"pft","read","jan"
"331","06-Feb","15:02","Sunny, some clouds","Sciurus carolinensis","Grey squirrel","1","Alive","TG 19074 07578","Human","Urban","Near Road","Shawnee",NA,"nbm","east","feb"
"332","17/04/2017","12:41",NA,"Sciurus carolinensis","Grey squirrel","1","Alive","TR 13320 59788","Human site","Suburban","residential, near road","DT",NA,"gua","kent","apr"
"333","24 January 2017","11:00","Sunny","Sciurus carolinensis","Grey squirrel","1","Alive","SU 7309 7187","Human site","Suburban","Municipal park/recreational area, Near road (50m)","Team",NA,"pft","read","jan"
"334","13/01/17","11:00","Drizzle","Sciurus carolinensis","Grey squirrel","5","Alive","SD 48505 57833","Woodland","mixed","Dense shrub layer, sparse field layer","Tay","Seen on walk from bike shed to library, along woodland trail, close to T1","tbt","lanc","jan"
"335","24/03/2017","09:32","Sunny","Sciurus carolinensis","Grey squirrel","2","Alive","SD 48505 57825","Woodland","Mixed","Dense shrub layer, Sparse field layer","Tay",NA,"tbt","lanc","mar"
"336","17 January 2017","12:08","Sunny","Sciurus carolinensis","Grey squirrel","2","Alive","SU 7381 7218","Woodland","Mixed","Sparse/no shrub layer, Near road (50m)","Team",NA,"pft","read","jan"
"337","09-Feb","08:55","Light snow","Sciurus carolinensis","Grey squirrel","1","Alive","TG 19355 08140","Human","Suburban","Municipal park/recreational area","Ellen",NA,"nbm","east","feb"
"338","17/04/2017","13:55",NA,"Sciurus carolinensis","Grey squirrel","2","Alive","TR 13573 59784","Woodland","Broadleaved","Near road","DT",NA,"gua","kent","apr"
"339","24 January 2017","11:29","Sunny","Sciurus carolinensis","Grey squirrel","2","Alive","SU 7372 7232","Woodland","Mixed","Moderate shrub layer, Near road (50m)","Team",NA,"pft","read","jan"
"340","17 January 2017","13:42","Sunny","Sciurus carolinensis","Grey squirrel","1","Alive","SU 7414 7154","Woodland","Mixed","Moderate shrub layer","Team",NA,"pft","read","jan"
"341","17/01/17","12:10","Sunny and cold","Sciurus carolinensis","Grey squirrel","1","Alive","SU 98759 50000","Human Site","Suburban","Residential, Recreational ground","Zoe",NA,"tsu","surr","jan"
"342","25 January 2017","14:09","Sunny","Sciurus carolinensis","Grey squirrel","1","Alive","SU 7309 7187","Human site","Suburban","Municipal park/recreational area, Near road (50m)","Team",NA,"pft","read","jan"
"343","30-Jan","13:34","Clear","Sciurus carolinensis","Grey squirrel","4","Alive","TG 19138 06916","Woodland","Broadleaved","Moderate shrub layer, sparse field layer","Max","Around bird feeders","nbm","east","jan"
"344","30/05/2017",NA,"Drizzling","Sciurus carolinensis","Grey squirrel","2","Alive","SS 62874 91662","Woodland","Mixed","Near road, parkland","Samantha Purton",NA,"suc","swan","may"
"345","26/05/2017","06:31","Sunny","Sciurus carolinensis","Grey squirrel","1","Alive","SU 7404 7213","Human Site","Suburban","Near road (50m)","Sophie",NA,"pft","read","may"
"346","25 January 2017","13:36","Sunny","Sciurus carolinensis","Grey squirrel","3","Alive","SU 7422 7177","Human site","Suburban","Disused, Near road (50m)","Team",NA,"pft","read","jan"
"347","07/02/2017","08:45",NA,"Sciurus carolinensis","Grey squirrel","1","Alive","TR 13928 59631","Human site","Suburban","near road","DT",NA,"gua","kent","feb"
"348","25 January 2017","13:40","Sunny","Sciurus carolinensis","Grey squirrel","1","Alive","SU 7414 7154","Woodland","Mixed","Moderate shrub layer","Team",NA,"pft","read","jan"
"349","03/03/2017","07:09",NA,"Sciurus carolinensis","Grey squirrel","2","Alive","TR 13878 59945","Human site","Suburban","residential, near road","DT",NA,"gua","kent","mar"
"350","28/06/2017","10:21","Dry, sunny with some clouds","Sciurus carolinensis","Grey squirrel","2","Alive","57.175970, -2.098491","Woodland","Mixed","Semi-natural","Jennifer",NA,"att","aber","jun"
"351","17 January 2017","14:13","Sunny","Sciurus carolinensis","Grey squirrel","1","Alive","SU 7386 7226","Woodland","Mixed","Sparse/no shrub layer, Near road (50m)","Team",NA,"pft","read","jan"
"352","05/09/2017","16:03","Sunny","Sciurus carolinensis","Grey squirrel","1","Alive","SU 7358 7135 ","Human Site","Suburban","Garden","Steph",NA,"pft","read","may"
"353","19/02/2017","12:27",NA,"Sciurus carolinensis","Grey squirrel","1","Alive","TR 13381 59775","Human site","Suburban","residential, near road","DT",NA,"gua","kent","feb"
"354","16/02/2017","16:00","Cloudy ","Sciurus carolinensis","Grey squirrel","1","Alive","SU 98227 50201","Human site","Suburban","Residential, Highly disturbed","Zoe",NA,"tsu","surr","feb"
"355","10 January 2017","09:22","Overcast","Sciurus carolinensis","Grey squirrel","1","Alive","SU 7411 7205","Human site","Suburban","Disused, Gardens","Aimee",NA,"pft","read","jan"
"356","24 January 2017","13:24","Sunny","Sciurus carolinensis","Grey squirrel","1","Alive","SU 7411 7205","Human site","Suburban","Disused, Gardens","Team",NA,"pft","read","jan"
"357","08-Feb-17","12:53","Overcast","Sciurus carolinensis","Grey squirrel","1","Alive","SU 7411 7205 ","Human Site ","Suburban","Disused, Garden","Sophie ",NA,"pft","read","feb"
"358","06 January 2017","11:04","Sunny","Sciurus carolinensis","Grey squirrel","1","Alive","SU 7378 7189","Human site","Suburban","Gardens","Sophie",NA,"pft","read","jan"
"359","24/05/2017","12:12","Sunny","Sciurus carolinensis","Grey squirrel","1","Alive","SU 7404 7213","Human Site","Suburban","Near road (50m)","Sophie",NA,"pft","read","may"
"360","12/01/17","09:15","Sunny","Sciurus carolinensis","Grey squirrel","8","Alive","SD 48505 57832","Woodland","mixed","Dense shrub layer, sparse field layer","Tay","Seen on walk from bike shed to library along woodland trail, close to T1","tbt","lanc","jan"
"361","01-Mar-17","16:12","Sunny","Sciurus carolinensis","Grey squirrel","1","Alive","SU 7375 7190","Woodland","Mixed","Moderate shrub layer","Sophie",NA,"pft","read","mar"
"362","05/09/2017","15:59","Sunny","Sciurus carolinensis","Grey squirrel","1","Alive","SU 7358 7135 ","Human Site","Suburban","Garden","Steph",NA,"pft","read","may"
"363","30/05/2017","06:38","Sunny","Sciurus carolinensis","Grey squirrel","2","Alive","SU 7406 7203","Human Site","Suburban","Garden, Near road (50m)","Sophie",NA,"pft","read","may"
"364","17 January 2017","14:08","Sunny","Sciurus carolinensis","Grey squirrel","1","Alive","SU 7309 7187","Human site","Suburban","Municipal park/recreational area, Near road (50m)","Team",NA,"pft","read","jan"
"365","17/04/2017","13:54",NA,"Sciurus carolinensis","Grey squirrel","2","Alive","TR 13525 59760","Woodland","Broadleaved","Near road","DT",NA,"gua","kent","apr"
"366","19 January 2017","14:35","Sunny","Sciurus carolinensis","Grey squirrel","1","Alive","SU 7304 7223","Human site","Suburban","Municipal park/recreational area, Near road (50m)","Team",NA,"pft","read","jan"
"367","09-Mar-17","14:02","Sunny","Sciurus carolinensis","Grey squirrel","6","Alive","SU 7411 7205","Human Site","Suburban","Disused, Gardens","Steph",NA,"pft","read","mar"
"368","17 January 2017","09:26","Sunny","Sciurus carolinensis","Grey squirrel","1","Alive","SU 7411 7205","Human site","Suburban","Disused, Gardens","Steph",NA,"pft","read","jan"
"369","01/05/2017","12:29","Drizzle","Sciurus carolinensis","Grey squirrel","1","Alive","TR 13750 59967","Human site","Suburban"," near road","DT",NA,"gua","kent","may"
"370","17/03/2017","15:22",NA,"Sciurus carolinensis","Grey squirrel","1","Alive","TR 13965 59967","Human site","Suburban","residential, near road","DT",NA,"gua","kent","mar"
"371","20-Feb","15:00","Overcast","Sciurus carolinensis","Grey squirrel","1","Alive","TG 19549 07695","Human","Suburban","Near Road","Shawnee",NA,"nbm","east","feb"
"372","05/09/2017","15:57","Sunny","Sciurus carolinensis","Grey squirrel","1","Alive","SU 7358 7135 ","Human Site","Suburban","Garden","Steph",NA,"pft","read","may"
"373","01-Mar-17","12:45","Sunny","Sciurus carolinensis","Grey squirrel","3","Alive","SU 7411 7205","Human Site","Suburban","Disused, Gardens","Sophie",NA,"pft","read","mar"
"374","16/02/2017","16:10","Cloudy ","Sciurus carolinensis","Grey squirrel","1","Alive","SU 98295 50175","Human site","Suburban","Residential, Gardens, Recreational ground","Dixie",NA,"tsu","surr","feb"
"375","04 January 2017","09:37","Overcast","Sciurus carolinensis","Grey squirrel","1","Alive","SU 7411 7205","Human site","Suburban","Disused, Gardens","Sophie",NA,"pft","read","jan"
"376","11/01/17","09:00","Sunny","Sciurus carolinensis","Grey squirrel","7","Alive","SD 48505 57831","Woodland","mixed","Dense shrub layer, sparse field layer","Josh ","Seen on walk from bike shed to library along woodland trail, close to T1","tbt","lanc","jan"
"377","06/01/17","09:30","Sunny","Sciurus carolinensis","Grey squirrel","6","Alive","SD 48505 57826","Woodland","mixed","Dense shrub layer, sparse field layer","Tay","Seen on walk from bike shed to library along woodland trail, close to T1","tbt","lanc","jan"
"378","07-Mar-17","14:07","Sunny","Sciurus carolinensis","Grey squirrel","1","Alive","SU 7375 7190","Woodland","Mixed","Moderate shrub layer","Steph",NA,"pft","read","mar"
"379","24/02/2017","10:00","Cloudy ","Sciurus carolinensis","Grey squirrel","1","Alive","SU 98727 50043","Human site","Suburban","Recreational ground, residential","Zoe",NA,"tsu","surr","feb"
"380","10/01/17","10:20","Overcast","Sciurus carolinensis","Grey squirrel","4","Alive","SD 48505 57830","Woodland","mixed","Dense shrub layer, sparse field layer","Tay","Seen on walk from bike shed to library along woodland trail, close to T1","tbt","lanc","jan"
"381","11/03/2017","16:28",NA,"Sciurus carolinensis","Grey squirrel","1","Alive","TR 13750 59967","Human site","Suburban","residential, near road","DT",NA,"gua","kent","mar"
"382","07/05/2017","14:00","Cloudy","Sciurus carolinensis","Grey squirrel","3","Alive","TG 19417 08268","Woodland","Broadleaved","Near road (50 m)","Eleanor",NA,"nbm","east","may"
"383","11/05/2017","10:14","Sunny","Sciurus carolinensis","Grey squirrel","1","Alive","TR 13251 59597","Human Site","Suburban","near road (50m)","Kieran Richardson",NA,"kpl","kent","may"
"384","22-Mar","14:05","Clear","Sciurus carolinensis","Grey squirrel","1","Alive","TG 19652 07639","Human","Urban ","Near road","Max",NA,"nbm","east","mar"
"385","31/01/2017","12:56","Heavy showers, overcast","Sciurus carolinensis","Grey squirrel","1","Alive","57.177334,-2.104975","Woodland","Mixed","Moderate shrub layer","Cristin",NA,"att","aber","jan"
"386","30/01/2017","08:00","Cloudy","Sciurus carolinensis","Grey squirrel","1","Alive","TR 13173 59780","Human site","Suburban","Gardens, near road (50m)","Kieran Richardson",NA,"kpl","kent","jan"
"387","18/01/2017",NA,"Sunny","Sciurus carolinensis","Grey squirrel","5","Alive","SS 62967 92086","Woodland","Broadleaved","Moderate shrub layer, moderate field layer","Samantha Purton",NA,"suc","swan","jan"
"388","21/02/2017","14:00","Cloudy, mild","Sciurus carolinensis","Grey squirrel","2","alive","SO946230","Human site","Suburban","Residential, Gardens, near road","Tom",NA,"uog","glou","feb"
"389","28/05/2017","09:23","Cloudy","Sciurus carolinensis","Grey squirrel","2","Alive","TR 13254 59638","Human Site","Suburban","Residential, near road (50m)","Kieran Richardson",NA,"kpl","kent","may"
"390","15-Mar","15:20","Sunny","Sciurus carolinensis","Grey squirrel","1","Alive","TG 19541 07694","Human","Urban","Municipal park/recreational area","Max",NA,"nbm","east","mar"
"391","04/04/2017","17:00","Cloudy","Sciurus carolinensis","Grey squirrel","1","Alive","SU 98943 50234","Waterbody","Lake","Near railway, residential","Zoe",NA,"tsu","surr","apr"
"392","14-Mar","13:50","Clear","Sciurus carolinensis","Grey squirrel","2","Alive","TG 19593 07697","Human","Urban","Near road","Max",NA,"nbm","east","mar"
"393","27.01.17","4.56pm","7 degrees celsius. Slight clous cover. ","Sciurus carolinensis","Grey squirrel","1","Alive","TQ6259249640","Woodland","Broadleaved","Semi-natural","Sherece, Paige & Ellie","High chance this was the same squirrel seen on the standard walk.","hot","hadl","jan"
"394","15/05/2017","16:24","Cloudy","Sciurus carolinensis","Grey squirrel","1","Alive","TR 13223 59592","Human Site","Suburban","Residential, near road (50m)","Kieran Richardson",NA,"kpl","kent","may"
"395","28/05/2017","09:25","Cloudy","Sciurus carolinensis","Grey squirrel","1","Alive","TR 13311 59789","Human Site","Suburban","recreational area","Kieran Richardson",NA,"kpl","kent","may"
"396","06/02/2017","08:06","Ground Frost, foggy, -1","Sciurus carolinensis","Grey squirrel","1","Alive","SO 78450 23393","Woodland","Broadleaved","Sparse/no shrub layer","Becky",NA,"hhe","hart","feb"
"397","30/4/17","20:00","Cloudy","Sciurus carolinensis","Grey squirrel","1","Alive","SU 98118 50172","Human site","Suburban","Near road, high disturbance","Yuma and Dixie",NA,"tsu","surr","apr"
"398","13-Mar","11:50","Clear","Sciurus carolinensis","Grey squirrel","2","Alive","TG 19336 08211","Human","Suburban","Municipal park/recreational area","Ellen",NA,"nbm","east","mar"
"399","17/05/2017","11:30","Raining  ","Sciurus carolinensis","Grey squirrel","1","Alive","SU 98142 50205","Human site","Suburban","Near road, High disturbance","Dixie and Yuma",NA,"tsu","surr","may"
"400","13/05/2017","09:31","Cloudy","Sciurus carolinensis","Grey squirrel","2","Alive","TR 13252 59709","Human Site","Suburban","Residential, near road (50m)","Kieran Richardson",NA,"kpl","kent","may"
"401","29/03/2017","16:00","Light rain","Sciurus carolinensis","Grey squirrel","1","Alive","SU 98342 50165","Human Site","suburban","Residential, recreational ground","Zoe",NA,"tsu","surr","mar"
"402","26/05/2017","04:52","Dawn ","Sciurus carolinensis","Grey squirrel","1","Alive","SD 48302 56885","Human Site","Suburban","Path, between two hedgerows ","Jack ",NA,"tbt","lanc","may"
"403","07/05/2017","12:15","Sunny/cloudy","Sciurus carolinensis","Grey squirrel","1","alive","SO946230","Human site","Suburban","Residential, Gardens, near road","Tom",NA,"uog","glou","may"
"404","19-Feb",NA,"Clear","Sciurus carolinensis","Grey squirrel","1","Alive","SK334376","Human Site","Suburban","Municipal Park","Ilse Sijtsma",NA,"mam","derb","feb"
"405","24/05/2017","14:00","Sunny","Sciurus carolinensis","Grey squirrel","2","Alive","SU 98825 49984","Human site","Suburban","Gardens, low disturbance","Zoe and Yuma",NA,"tsu","surr","may"
"406","04/05/2017","17:00","Sunny","Sciurus carolinensis","Grey squirrel","1","Alive","SU 98865 50392","Waterbody","Lake","Near railway, low disturbance","Yuma  ",NA,"tsu","surr","apr"
"407","19/02/2017","13:45","cloudy","Sciurus carolinensis","Grey squirrel","1","Alive","TR 13557 59791","Woodland","Broadleaved","Moderate shrub layer, sparse field layer","Kieran Richardson",NA,"kpl","kent","feb"
"408","03/05/2017","14:45","Cloudy","Sciurus carolinensis","Grey squirrel","1","Alive","SU 98610 50190","Human Site","suburban","Recreational ground, high disturbance","Zoe",NA,"tsu","surr","mar"
"409","06/03/2017","18:20","Partly Cloudy","Sciurus carolinensis","Grey squirrel","1","Alive","SU 98083 50154","Human Site","Suburban","Near road, high disturbance","Zoe",NA,"tsu","surr","jun"
"410","03/05/2017","14:30","Cloudy","Sciurus carolinensis","Grey squirrel","1","Alive","SU 98758 49997","Human Site","suburban","Residential, recreational ground","Zoe",NA,"tsu","surr","mar"
"411","23/05/2017","18:00","Sunny","Sciurus carolinensis","Grey squirrel","2","Alive","SU 98825 49984","Human site","Suburban","Gardens, low disturbance","Zoe",NA,"tsu","surr","may"
"412","27/02/2017",NA,"Clear","Sciurus carolinensis","Grey squirrel","2","Alive","SK334376","Human Site","Suburban","Municipal Park","Luke Bamforth",NA,"mam","derb","feb"
"413","23/05/2017","07:30","Partly cloudy","Sciurus carolinensis","Grey squirrel","1","Alive","SU 98726 50032","Human site","Suburban","Recreational, high disturbance","Zoe",NA,"tsu","surr","may"
"414","31/03/2017","13:23","Sunny","Sciurus carolinensis","Grey squirrel","2","Alive","SS 63149 92211","Woodland","Mixed","Moderate shrub layer, Moderate field layer","Samantha Purton",NA,"suc","swan","mar"
"415","05/05/2017","19:25","Cloudy","Sciurus carolinensis","Grey squirrel","1","Alive","SU 98293 50211","Human site","Suburban","Recreational, high disturbance","Yuma  ",NA,"tsu","surr","may"
"416","03/09/2017","09:45","Sunny","Sciurus carolinensis","Grey squirrel","1","Alive","SU 98373 50190","Human Site","suburban","Residential, high disturbance","Emily",NA,"tsu","surr","mar"
"417","29/05/2017","08:30","Cloudy","Sciurus carolinensis","Grey squirrel","1","Alive","SU 98804 50006","Human site","Suburban","Recreational","Zoe",NA,"tsu","surr","may"
"418","25/4/17","09:10","Sunny","Sciurus carolinensis","Grey squirrel","1","Alive","SU 98763 50004","Human site","Suburban","Residential, low disturbance","Zoe",NA,"tsu","surr","apr"
"419","30/05/2017","17:00","Sunny","Sciurus carolinensis","Grey squirrel","1","Alive","SU 98797 49989","Human site","Suburban","Recreational, low disturbance","Zoe",NA,"tsu","surr","may"
"420","30/01/2017","07:46","Cloudy","Sciurus carolinensis","Grey squirrel","1","Alive","TR 13233 59579","Human site","Suburban","Gardens, near road (50m)","Kieran Richardson",NA,"kpl","kent","jan"
"421","08/02/2017",NA,"Raining","Sciurus carolinensis","Grey squirrel","2","Alive","SS 62943 91725","Woodland ","Mixed","Sparse shrub layer, Near road (50m), Semi-natural","Kate Weston",NA,"suc","swan","feb"
"422","04/02/2017","14:07","cloudy","Sciurus carolinensis","Grey squirrel","1","Alive","TR 13225 59591","Human Site","Suburban","Near road (50m)","Kieran Richardson",NA,"kpl","kent","feb"
"423","28/05/2017","05:50","Fog","Sciurus carolinensis","Grey squirrel","1","Alive","SU 97807 50314","Human site","Suburban","Residential, gardens, near road","Zoe","Sitting in the road","tsu","surr","may"
"424","30/04/2017",NA,"Moderately cloudy","Sciurus carolinensis","Grey squirrel","1","Alive ","SS 63022 91750","Woodland","Broadleaved","Near Road, Park land","Samantha Purton",NA,"suc","swan","apr"
"425","22/05/2017","14:39","Sunny","Sciurus carolinensis","Grey squirrel","1","Alive","TR 13186 59580","Human Site","Suburban","Residential, near road (50m)","Kieran Richardson",NA,"kpl","kent","may"
"426","05/05/2017","17:45","Cloudy","Sciurus carolinensis","Grey squirrel","1","Alive","SU 98810 49986","Human site","Suburban","recreational, residential","Zoe",NA,"tsu","surr","may"
"427","22/03/2017","08:50","Dry","Sciurus carolinensis","Grey squirrel","1","Alive","SS 63208 92114","Woodland","Mixed","Moderate shrub layer, Moderate field layer","Samantha Purton",NA,"suc","swan","mar"
"428","02/04/2017",NA,"Cloudy","Sciurus carolinensis","Grey squirrel","2","Alive ","SS 63108 92205","Woodland","Broadleaved","moderate shrub layer, moderate field layer","Samantha Purton",NA,"suc","swan","apr"
"429","31/05/2017","08:30","Sunny","Sciurus carolinensis","Grey squirrel","2","Alive","SU 98803 50000","Human site","Suburban","Recreational, low disturbance","Zoe",NA,"tsu","surr","may"
"430","12/05/2017","14:30","Cloudy","Sciurus carolinensis","Grey squirrel","1","Alive","TG 19357 08212","Human site","Urban","Near road (50 m)","Ellen",NA,"nbm","east","may"
"431","10/01/2017",NA,"Cloudy","Sciurus carolinensis","Grey squirrel","4","Alive","SS 63041 92171","woodland","broadleaved","moderate shrub layer, sparse field layer","Samantha Purton",NA,"suc","swan","jan"
"432","09/05/2017","13:09","Sunny","Sciurus carolinensis","Grey squirrel","1","Alive","TR 13236 59574","Human Site","Suburban","near road (50m)","Kieran Richardson",NA,"kpl","kent","may"
"433","04/04/2017","17:15","Cloudy","Sciurus carolinensis","Grey squirrel","1","Alive","SU 98822 50270","Waterbody","Lake","Near road, medium disturbance","Yuma and Dixie","Being chased by a coot","tsu","surr","apr"
"434","16-Mar","12:35","Cloudy","Sciurus carolinensis","Grey squirrel","2","Alive","TG 19412 07519","Human","Suburban","Municipal park/recreational area","Max",NA,"nbm","east","mar"
"435","08/02/2017",NA,"Raining","Sciurus carolinensis","Grey squirrel","1","Alive","SS 62846 91613","Waterbodies","Pond","Near road (50m), Low banks, Flat","Hannah Cole",NA,"suc","swan","feb"
"436","22/05/2017","14:39","Sunny","Sciurus carolinensis","Grey squirrel","1","Alive","TR 13084 59577","Human Site","Suburban","recreational area","Kieran Richardson",NA,"kpl","kent","may"
"437","16/05/2017","14:00","Very hot","Sciurus carolinensis","Grey squirrel","1","Alive","TG 19121 07431","Human","Suburban","Municipal park/recreational area","Ellen",NA,"nbm","east","may"
"438","25/05/2017","12:40","Cloudy","Sciurus carolinensis","Grey squirrel","2","alive","SO946229","Human site","Suburban","Residential, Gardens, near road","Tom",NA,"uog","glou","may"
"439","14-Mar","16:00","Sunny","Sciurus carolinensis","Grey squirrel","1","Alive","TG 19342 08209","Human","Suburban","Municipal park/recreational area","Steven",NA,"nbm","east","mar"
"440","05/04/2017","17:15","Cloudy","Sciurus carolinensis","Grey squirrel","1","Alive","SU 98783 49973","Human site","Suburban","recreational, residential","Zoe",NA,"tsu","surr","may"
"441","27/02/2017","13:02","Raining","Sciurus carolinensis","Grey squirrel","5","Alive","TR 13107 59576","Woodland","Broadleaved","Moderate shrub layer, sparse field layer","Kieran Richardson",NA,"kpl","kent","feb"
"442","20/03/2017","15:46","Clear","Sciurus carolinensis","Grey squirrel","3","Alive","ST 5677 7574","Human Site","Urban","Gardens, residential, near road","Ellie Livingstone",NA,"bba","bris","mar"
"443","21-Mar","15:10","Cloudy","Sciurus carolinensis","Grey squirrel","1","Alive","TG 19551 07726","Human","Urban","Near road","Max",NA,"nbm","east","mar"
"444","31/01/2017","12:49","Heavy showers, overcast","Sciurus carolinensis","Grey squirrel","1","Alive","57.177214,-2.106867","Woodland","Mixed","Moderate shrub layer","Cristin",NA,"att","aber","jan"
"445","22/03/2017","20:13","Cloudy","Sciurus carolinensis","Grey squirrel","1","Dead","TR 13139 59671","Human Site","Suburban","Near road (50m)","Kieran Richardson","Roadkill","kpl","kent","mar"
"446","22/03/2017","09:04","Dry","Sciurus carolinensis","Grey squirrel","1","Alive","SS 63248 92166","Woodland","Mixed","Moderate shrub layer, Dense field layer","Samantha Purton",NA,"suc","swan","mar"
"447","19/03/2017","15:52","Sunny","Sciurus carolinensis","Grey squirrel","2","Alive","TR 13536 59735","Woodland","Broadleaved","Dense Shrub Layer, Sparse Field Layer","Kieran Richardson",NA,"kpl","kent","mar"
"448","04/06/2017","17:50","Sunny","Sciurus carolinensis","Grey squirrel","1","Alive","SU 98619 50093","Human site","Suburban","Residential, low disturbance","Zoe",NA,"tsu","surr","apr"
"449","13/05/2017","09:50","Cloudy","Sciurus carolinensis","Grey squirrel","1","Alive","TR 13250 59617","Human Site","Suburban","Residential, near road (50m)","Kieran Richardson",NA,"kpl","kent","may"
"450","05/10/2017","18:05","Sunny","Sciurus carolinensis","Grey squirrel","1","Alive","SU 98826 49988","Human site","Suburban","Recreational, high disturbance","Zoe",NA,"tsu","surr","may"
"451","10/05/2017","15:00","Cloudy","Sciurus carolinensis","Grey squirrel","1","Alive","TG 18890 07399","Woodland","Broadleaved","Moderate shrub layer (bluebells)","Eleanor",NA,"nbm","east","may"
"452","26/03/2017","13:33","Sunny","Sciurus carolinensis","Grey squirrel","1","alive","SO946230","Human site","Suburban","Residential, Gardens, near road","Tom",NA,"uog","glou","mar"
"453","22/05/2017","15:09","Sunny","Sciurus carolinensis","Grey squirrel","2","alive","SO945230","Human site","Suburban","Residential, Gardens, near road","Leah",NA,"uog","glou","may"
"454","06/04/2017","19:30","Partly Cloudy","Sciurus carolinensis","Grey squirrel","1","Alive","SU 98112 50203","Human Site","Suburban","Near road, high disturbance","Dixie and Yuma",NA,"tsu","surr","jun"
