"","Date","Time","latin","Species","Weather","Trap.number","Location..OS.coordinates.","Habitat.Lv.1","Habitat.Lv.2","Habitat.Lv.3","Observer","Supervisor","Any.other.comments","team","loc","month"
"88","01-Feb","07:30","Apodemus sylvaticus","Wood mouse","Cold, clear","1","TG 19138 06916 - TG 19047 06945","Woodland","Broadleaved","Moderate shrub layer, sparse field layer","Shawnee & Max",NA,NA,"nbm","east","feb"
"89","09-Jan","09:18","Apodemus sylvaticus","Wood mouse","Cold, clear","36","TG 19138 06916 - TG 19047 06945","Woodland","Broadleaved","Moderate shrub layer, sparse field layer","Shawnee & Max",NA,NA,"nbm","east","jan"
"90","01-Feb","07:53","Apodemus sylvaticus","Wood mouse","Cold, clear","10","TG 19138 06916 - TG 19047 06945","Woodland","Broadleaved","Moderate shrub layer, sparse field layer","Shawnee & Max",NA,NA,"nbm","east","feb"
"91","21-Feb","08:41","Apodemus sylvaticus","Wood mouse","Mild, clear","27","TG 19138 06916 - TG 19047 06945","Woodland","Broadleaved","Moderate shrub layer, sparse field layer","Shawnee & Max",NA,NA,"nbm","east","feb"
"92","01-Feb","08:12","Apodemus sylvaticus","Wood mouse","Cold, clear","17","TG 19138 06916 - TG 19047 06945","Woodland","Broadleaved","Moderate shrub layer, sparse field layer","Shawnee & Max",NA,"Recap; fur clipping","nbm","east","feb"
"93","10-Jan","08:30","Apodemus sylvaticus","Wood mouse","Cloudy, light rain","24","TG 19138 06916 - TG 19047 06945","Woodland","Broadleaved","Moderate shrub layer, sparse field layer","Shawnee & Max",NA,NA,"nbm","east","jan"
"94","01-Feb","08:20","Apodemus sylvaticus","Wood mouse","Cold, clear","19","TG 19138 06916 - TG 19047 06945","Woodland","Broadleaved","Moderate shrub layer, sparse field layer","Shawnee & Max",NA,NA,"nbm","east","feb"
"95","01-Feb","08:26","Apodemus sylvaticus","Wood mouse","Cold, clear","20","TG 19138 06916 - TG 19047 06945","Woodland","Broadleaved","Moderate shrub layer, sparse field layer","Shawnee & Max",NA,NA,"nbm","east","feb"
"96","21-Feb","09:15","Apodemus sylvaticus","Wood mouse","Mild, clear","34","TG 19138 06916 - TG 19047 06945","Woodland","Broadleaved","Moderate shrub layer, sparse field layer","Shawnee & Max",NA,NA,"nbm","east","feb"
"97","01-Feb","08:37","Apodemus sylvaticus","Wood mouse","Cold, clear","25","TG 19138 06916 - TG 19047 06945","Woodland","Broadleaved","Moderate shrub layer, sparse field layer","Shawnee & Max",NA,NA,"nbm","east","feb"
"98","17/02/2017","07:35","Apodemus sylvaticus","Wood mouse","Partly cloudy","14","SU 98120 50348","Human site","Suburban","Near road, recreational ground","Dixie","Zoe",NA,"tsu","surr","feb"
"99","17/02/2017","07:10","Apodemus sylvaticus","Wood mouse","Partly cloudy","4","SU 98095 50261","Human site","Suburban","Near road, recreational ground","Dixie","Zoe",NA,"tsu","surr","feb"
"100","21-Feb","09:30","Apodemus sylvaticus","Wood mouse","Mild, clear","40","TG 19138 06916 - TG 19047 06945","Woodland","Broadleaved","Moderate shrub layer, sparse field layer","Shawnee & Max",NA,NA,"nbm","east","feb"
"101","17/02/2017","07:27","Apodemus sylvaticus","Wood mouse","Partly cloudy","12","SU 98108 50338","Human site","Suburban","Near road, recreational ground","Dixie","Zoe",NA,"tsu","surr","feb"
"102","22-Feb","08:35","Apodemus sylvaticus","Wood mouse","Cold, rainy","4","TG 19138 06916 - TG 19047 06945","Woodland","Broadleaved","Moderate shrub layer, sparse field layer","All",NA,NA,"nbm","east","feb"
"103","17/02/2017","07:44","Apodemus sylvaticus","Wood mouse","Partly cloudy","16","SU 98137 50357","Human site","Suburban","Near road, recreational ground","Dixie","Zoe",NA,"tsu","surr","feb"
"104","22-Feb","08:43","Apodemus sylvaticus","Wood mouse","Cold, rainy","7","TG 19138 06916 - TG 19047 06945","Woodland","Broadleaved","Moderate shrub layer, sparse field layer","All",NA,NA,"nbm","east","feb"
"105","17/02/2017","08:00","Apodemus sylvaticus","Wood mouse","Partly cloudy","11","SU 98906 50332","Human site","Suburban","Near road, near railway, Recreational","Yuma","Emily",NA,"tsu","surr","feb"
"106","10-Jan","08:57","Apodemus sylvaticus","Wood mouse","Cloudy, light rain","32","TG 19138 06916 - TG 19047 06945","Woodland","Broadleaved","Moderate shrub layer, sparse field layer","Shawnee & Max",NA,NA,"nbm","east","jan"
"107","22-Feb","08:50","Apodemus sylvaticus","Wood mouse","Cold, rainy","10","TG 19138 06916 - TG 19047 06945","Woodland","Broadleaved","Moderate shrub layer, sparse field layer","All",NA,NA,"nbm","east","feb"
"108","10-Jan","09:16","Apodemus sylvaticus","Wood mouse","Cloudy, light rain","35","TG 19138 06916 - TG 19047 06945","Woodland","Broadleaved","Moderate shrub layer, sparse field layer","Shawnee & Max",NA,NA,"nbm","east","jan"
"109","22-Feb","08:54","Apodemus sylvaticus","Wood mouse","Cold, rainy","13","TG 19138 06916 - TG 19047 06945","Woodland","Broadleaved","Moderate shrub layer, sparse field layer","All",NA,NA,"nbm","east","feb"
"110","31-Jan","08:04","Apodemus sylvaticus","Wood mouse","Overcast, dry","16","TG 19138 06916 - TG 19047 06945","Woodland","Broadleaved","Moderate shrub layer, sparse field layer","Shawnee & Max",NA,NA,"nbm","east","jan"
"111","31-Jan","08:30","Apodemus sylvaticus","Wood mouse","Overcast, dry","20","TG 19138 06916 - TG 19047 06945","Woodland","Broadleaved","Moderate shrub layer, sparse field layer","Shawnee & Max",NA,"Recapture - natural marking","nbm","east","jan"
"112","22-Feb","09:10","Apodemus sylvaticus","Wood mouse","Cold, rainy","18","TG 19138 06916 - TG 19047 06945","Woodland","Broadleaved","Moderate shrub layer, sparse field layer","All",NA,NA,"nbm","east","feb"
"113","03/01/2017","07:34","Apodemus sylvaticus","Wood mouse","Cloudy","12","SU 98901 50342","Human site","Suburban","Near road, near railway, Recreational","Yuma","Emily",NA,"tsu","surr","mar"
"114","31-Jan","08:44","Apodemus sylvaticus","Wood mouse","Overcast, dry","29","TG 19138 06916 - TG 19047 06945","Woodland","Broadleaved","Moderate shrub layer, sparse field layer","Shawnee & Max",NA,NA,"nbm","east","jan"
"115","09-Jan","08:44","Apodemus sylvaticus","Wood mouse","Cold, clear","25","TG 19138 06916 - TG 19047 06945","Woodland","Broadleaved","Moderate shrub layer, sparse field layer","Shawnee & Max",NA,NA,"nbm","east","jan"
"116","01/03/2017","10:20","Apodemus sylvaticus","Wood mouse","Cloudy going dark","2","NY410554","Woodland","Mixed","Moderate shrub layer","Jason","Davina Hill","Back of stems","tmo","cumb","mar"
"117","01/03/2017","18:10","Apodemus sylvaticus","Wood mouse","Cloudy going dark","3","NY410554","Woodland","Mixed","Moderate shrub layer","Ruth","Davina Hill","Back of stems","tmo","cumb","mar"
"118","03/01/2017","07:08","Apodemus sylvaticus","Wood mouse","Cloudy","5","SU 98096 50268","Human site","Suburban","Near road, recreational ground","Dixie","Zoe",NA,"tsu","surr","mar"
"119","03/03/2017","10:25","Apodemus sylvaticus","Wood mouse","Cloudy","3","NY410554","Woodland","Mixed","Moderate shrub layer","Ruth","Davina Hill","Back of stems","tmo","cumb","mar"
"120","20-Feb","09:04","Apodemus sylvaticus","Wood mouse","Mild, clear","40","TG 19138 06916 - TG 19047 06945","Woodland","Broadleaved","Moderate shrub layer, sparse field layer","Shawnee & Max",NA,NA,"nbm","east","feb"
"121","31-Jan","09:03","Apodemus sylvaticus","Wood mouse","Overcast, dry","33","TG 19138 06916 - TG 19047 06945","Woodland","Broadleaved","Moderate shrub layer, sparse field layer","Shawnee & Max",NA,NA,"nbm","east","jan"
"122","31-Jan","09:06","Apodemus sylvaticus","Wood mouse","Overcast, dry","34","TG 19138 06916 - TG 19047 06945","Woodland","Broadleaved","Moderate shrub layer, sparse field layer","Shawnee & Max",NA,NA,"nbm","east","jan"
"123","03/01/2017","07:30","Apodemus sylvaticus","Wood mouse","Cloudy","13","SU 98112 50343","Human site","Suburban","Near road, recreational ground","Dixie","Zoe",NA,"tsu","surr","mar"
